体育,#genre#
LPL原画,https://d1--cn-gotcha208.bilivideo.com/live-bvc/679480/live_7734200_bs_1348183_bluray/index.m3u8?expires=1654910923&len=0&oi=2871648564&pt=web&qn=10000&trid=100726ae9e2de6c148829fa9fe7efd755598&sigparams=cdn,expires,len,oi,pt,qn,trid&cdn=cn-gotcha208&sign=e779a5054980d84710f18970ed39f629&sk=c9c6154426932efa80d25af02e87a3bd&p2p_type=1&src=57601&sl=7&free_type=0&flowtype=1&machinezone=ylf&pp=rtmp&source=onetier&order=1&site=af81c5de567a7d5dd591efe94303411c
纽约洋基,https://clive.dianshunxinxi.com:4430/live/ballbar_21650.m3u8
洛杉矶天使,https://play.hfjiaan.cn/live/ballbar_6970.m3u8
波士顿红袜,https://play.hfjiaan.cn/live/ballbar_27510.m3u8
洛杉矶道奇,https://clive.dianshunxinxi.com:4430/live/ballbar_12190.m3u8
利物浦,http://cloud.yumixiu768.com/tmp/3108091847944323.m3u8 
英超周五,https://lived-ali.dingtai66.com/live/streamhd3980.flv?auth_key=1659794700-c3f9d097f98b4d75859ff0e0a3ff34e3-0-89887243f918789237b82df20538af3e
cctv5,https://livec-ali.dingtai66.com/live/CCTV5HD.flv?auth_key=1659794700-7ef9c0403f284688bd5dfa35eddfb235-0-0d39e18a3dfc1f2926591480598709fc
德甲,https://b941f322a360e6b43910db7ea61ac79f.v.smtcdns.net/txycdn.video.qq.com/13F69762F447C2F760619E6A5728A9404523FF7EC5D0959B66A82E98B6029D1E62D428DC55FC1A01690BE6920FBC8A86E2FAEB6051161EBE092BB8F73370F219258DC111E989F4331A49A66817CB7D0F5D964D0DE13C15F4F061423FF585992741E8F44E7E34E7570FF1D19B425871D04E7AB87C5793F155DE1777A3304174EE/1361679103.m3u8?from=player&cdncode=%2f18907E7BE0798990%2f&time=1659793340&cdn=tcloud&sdtfrom=v402212&platform=40201&butype=2&scheduleflag=0&HLSP2P=1&buname=qqlive&vkey=13F69762F447C2F760619E6A5728A9404523FF7EC5D0959B66A82E98B6029D1E62D428DC55FC1A01690BE6920FBC8A86E2FAEB6051161EBE092BB8F73370F219258DC111E989F4331A49A66817CB7D0F5D964D0DE13C15F4F061423FF585992741E8F44E7E34E7570FF1D19B425871D04E7AB87C5793F155DE1777A3304174EE&dr=0


央视,#genre#
CCTV-1 综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV-1 综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://125.210.152.19:9090/live/hzgq-cctv1gq-h264.m3u8
CCTV-1 综合,http://59.44.10.113:9901/tsfile/live/1018_1.m3u8
CCTV-1 综合,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV-1 综合,http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8
CCTV-2 财经,http://125.210.152.19:9090/live/hzgq-cctv2gq-h264.m3u8
CCTV-2 财经,http://59.44.10.113:9901/tsfile/live/1001_1.m3u8
CCTV-2 财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV-3 综艺,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综艺,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-3 综艺,http://125.210.152.19:9090/live/hzgq-cctv3gq-h264.m3u8
CCTV-3 综艺,http://59.44.10.113:9901/tsfile/live/1050_1.m3u8
CCTV-4 中文国际,http://125.210.152.19:9090/live/hzgq-cctv4gq-h264.m3u8
CCTV-4 中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 中文国际,http://59.44.10.113:9901/tsfile/live/1045_1.m3u8
CCTV-4 欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV-5 体育,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5 体育,http://140.207.241.3:8080/live/program/live/cctv5hd/4000000/mnf.m3u8
